Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR
2019-08-06,Arsenal,Aston Villa,1,1,D,0,0,D,G Poll,19,5,11,3,10,19,1,2,0,0
2019-08-06,Bolton,Tottenham,2,0,H,2,0,H,P Dowd,8,9,6,6,19,22,0,1,0,0
2019-08-06,Everton,Watford,2,1,H,1,0,H,P Walton,6,12,2,8,12,13,2,2,0,0
2019-08-06,Newcastle,Wigan,2,1,H,1,0,H,M Atkinson,9,14,8,9,17,20,1,2,0,0
2019-08-06,Portsmouth,Blackburn,3,0,H,1,0,H,A Wiley,21,9,16,7,20,17,2,1,0,2
2019-08-06,Reading,Middlesbrough,3,2,H,2,2,D,M Halsey,14,7,9,5,8,15,1,3,0,0
2019-08-06,Sheffield United,Liverpool,1,1,D,0,0,D,R Styles,5,12,3,7,10,16,1,2,0,0
2019-08-06,West Ham,Charlton,3,1,H,0,1,A,H Webb,16,4,5,2,14,14,2,2,0,1
2020-08-06,Chelsea,Man City,3,0,H,2,0,H,S Bennett,10,5,4,2,7,15,1,3,0,1
2020-08-06,Man United,Fulham,5,1,H,4,1,H,A Marriner,15,12,7,8,14,20,1,1,0,0
2022-08-06,Tottenham,Sheffield United,2,0,H,2,0,H,P Walton,18,6,13,3,5,9,0,1,0,0
2022-08-06,Watford,West Ham,1,1,D,0,0,D,M Atkinson,11,8,4,4,12,12,0,0,0,0
2023-08-06,Aston Villa,Reading,2,1,H,1,1,D,L Mason,11,5,6,3,9,6,2,1,0,1
2023-08-06,Blackburn,Everton,1,1,D,0,0,D,U Rennie,10,10,5,4,22,20,4,3,0,0
2023-08-06,Charlton,Man United,0,3,A,0,0,D,C Foy,8,21,2,11,14,11,1,1,0,0
2023-08-06,Fulham,Bolton,1,1,D,0,0,D,A Wiley,11,4,4,1,9,16,0,2,0,0
2023-08-06,Man City,Portsmouth,0,0,D,0,0,D,D Gallagher,6,3,3,1,15,13,2,1,0,0
2023-08-06,Middlesbrough,Chelsea,2,1,H,0,1,A,H Webb,9,8,2,5,15,7,2,2,0,0
2026-08-06,Charlton,Bolton,2,0,H,0,0,D,M Dean,9,7,5,2,11,17,1,4,1,1
2026-08-06,Fulham,Sheffield United,1,0,H,1,0,H,G Poll,10,9,5,1,17,17,3,3,0,0
2026-08-06,Liverpool,West Ham,2,1,H,2,1,H,A Wiley,19,8,8,3,15,6,1,0,0,0
2026-08-06,Man City,Arsenal,1,0,H,1,0,H,U Rennie,10,17,3,6,16,8,1,1,0,0
2026-08-06,Tottenham,Everton,0,2,A,0,0,D,M Halsey,15,6,6,2,9,12,1,1,0,1
2026-08-06,Watford,Man United,1,2,A,1,1,D,P Dowd,8,19,7,10,20,14,1,1,0,0
2026-08-06,Wigan,Reading,1,0,H,1,0,H,M Riley,15,5,5,3,12,14,2,2,0,0
2027-08-06,Aston Villa,Newcastle,2,0,H,2,0,H,H Webb,9,8,7,5,14,12,2,2,0,0
2027-08-06,Blackburn,Chelsea,0,2,A,0,0,D,M Clattenburg,12,14,3,8,10,15,3,1,0,0
2028-08-06,Middlesbrough,Portsmouth,0,4,A,0,1,A,C Foy,19,10,8,7,15,9,2,1,0,0
2009-09-06,Arsenal,Middlesbrough,1,1,D,0,1,A,R Styles,20,1,12,1,5,17,1,6,0,1
2009-09-06,Bolton,Watford,1,0,H,0,0,D,M Clattenburg,7,15,2,6,13,15,3,1,0,0
2009-09-06,Chelsea,Charlton,2,1,H,1,0,H,A Wiley,19,3,6,2,12,7,2,1,0,0
2009-09-06,Everton,Liverpool,3,0,H,2,0,H,G Poll,8,21,6,5,22,13,1,3,0,0
2009-09-06,Man United,Tottenham,1,0,H,1,0,H,M Riley,10,9,5,4,12,17,2,2,0,0
2009-09-06,Newcastle,Fulham,1,2,A,0,0,D,C Foy,15,8,7,5,16,12,1,1,0,0
2009-09-06,Portsmouth,Wigan,1,0,H,0,0,D,P Walton,9,11,7,5,14,5,0,1,0,0
2009-09-06,Sheffield United,Blackburn,0,0,D,0,0,D,M Dean,14,12,9,1,12,11,2,2,0,0
2010-09-06,West Ham,Aston Villa,1,1,D,0,1,A,S Bennett,7,10,1,6,15,9,2,2,0,0
2011-09-06,Reading,Man City,1,0,H,1,0,H,H Webb,12,15,7,8,6,16,0,4,0,1
2016-09-06,Bolton,Middlesbrough,0,0,D,0,0,D,S Bennett,13,14,3,7,7,19,0,1,0,0
2016-09-06,Charlton,Portsmouth,0,1,A,0,0,D,P Dowd,18,12,5,5,6,10,0,2,0,0
2016-09-06,Everton,Wigan,2,2,D,0,0,D,A Wiley,14,10,9,7,14,23,1,5,0,0
2016-09-06,Sheffield United,Reading,1,2,A,0,2,A,A Marriner,14,8,7,2,12,6,2,1,0,0
2016-09-06,Watford,Aston Villa,0,0,D,0,0,D,M Dean,12,9,5,4,12,10,1,0,0,0
2017-09-06,Blackburn,Man City,4,2,H,2,2,D,M Atkinson,11,15,5,8,11,11,2,3,0,0
2017-09-06,Chelsea,Liverpool,1,0,H,1,0,H,M Riley,4,9,3,6,13,17,3,2,1,0
2017-09-06,Man United,Arsenal,0,1,A,0,0,D,G Poll,17,14,9,7,11,11,2,2,0,0
2017-09-06,Tottenham,Fulham,0,0,D,0,0,D,M Clattenburg,18,8,8,3,11,20,2,2,0,0
2017-09-06,West Ham,Newcastle,0,2,A,0,0,D,R Styles,10,16,7,9,11,11,3,3,0,0
2020-09-06,Liverpool,Newcastle,2,0,H,1,0,H,M Halsey,22,11,11,6,12,13,1,1,0,0
2023-09-06,Arsenal,Sheffield United,3,0,H,0,0,D,A Wiley,14,5,11,4,11,8,2,1,0,0
2023-09-06,Aston Villa,Charlton,2,0,H,1,0,H,M Riley,12,8,5,3,10,14,0,1,0,0
2023-09-06,Fulham,Chelsea,0,2,A,0,0,D,M Halsey,7,13,4,5,19,9,2,1,0,0
2023-09-06,Liverpool,Tottenham,3,0,H,0,0,D,H Webb,14,5,6,1,12,9,1,0,0,0
2023-09-06,Man City,West Ham,2,0,H,0,0,D,C Foy,17,4,8,0,12,15,0,0,0,0
2023-09-06,Middlesbrough,Blackburn,0,1,A,0,1,A,G Poll,13,13,7,7,14,17,1,3,0,0
2023-09-06,Reading,Man United,1,1,D,0,0,D,P Walton,3,18,1,8,6,10,0,0,0,0
2023-09-06,Wigan,Watford,1,1,D,1,0,H,R Styles,8,10,4,4,15,15,2,2,0,0
2024-09-06,Newcastle,Everton,1,1,D,1,1,D,S Bennett,21,12,13,5,12,18,2,4,1,1
2025-09-06,Portsmouth,Bolton,0,1,A,0,1,A,U Rennie,13,4,5,3,8,13,2,2,0,0
1930-09-06,Bolton,Liverpool,2,0,H,1,0,H,P Dowd,4,13,3,6,15,12,2,1,0,0
1930-09-06,Charlton,Arsenal,1,2,A,1,1,D,M Clattenburg,10,21,6,12,19,8,4,4,0,0
1930-09-06,Chelsea,Aston Villa,1,1,D,1,1,D,G Poll,18,9,10,5,13,14,0,2,0,0
1930-09-06,Everton,Man City,1,1,D,1,0,H,A Marriner,14,11,10,5,14,17,2,2,0,0
1930-09-06,Sheffield United,Middlesbrough,2,1,H,1,0,H,P Walton,13,7,7,2,8,12,1,3,0,0
2001-10-06,Blackburn,Wigan,2,1,H,1,1,D,H Webb,12,11,8,6,16,17,3,4,0,0
2001-10-06,Man United,Newcastle,2,0,H,1,0,H,M Dean,24,3,11,3,5,13,1,3,0,0
2001-10-06,Tottenham,Portsmouth,2,1,H,2,1,H,C Foy,8,9,6,6,8,10,0,0,0,0
2001-10-06,West Ham,Reading,0,1,A,0,1,A,U Rennie,13,2,8,1,8,7,4,2,0,0
2002-10-06,Watford,Fulham,3,3,D,1,0,H,M Riley,9,9,4,3,24,12,1,3,0,0
2014-10-06,Arsenal,Watford,3,0,H,2,0,H,H Webb,15,9,7,3,6,14,0,1,0,0
2014-10-06,Aston Villa,Tottenham,1,1,D,0,0,D,M Atkinson,12,10,6,5,13,11,0,1,0,1
2014-10-06,Liverpool,Blackburn,1,1,D,0,1,A,M Clattenburg,18,5,9,3,6,15,1,3,0,0
2014-10-06,Man City,Sheffield United,0,0,D,0,0,D,M Dean,14,7,6,3,14,12,0,1,0,0
2014-10-06,Middlesbrough,Everton,2,1,H,1,0,H,M Halsey,9,12,6,8,12,9,1,0,0,0
2014-10-06,Portsmouth,West Ham,2,0,H,1,0,H,G Poll,18,6,6,3,20,11,4,4,0,0
2014-10-06,Reading,Chelsea,0,1,A,0,1,A,M Riley,5,7,0,4,16,7,3,2,1,1
2014-10-06,Wigan,Man United,1,3,A,1,0,H,S Bennett,6,12,2,5,7,8,0,2,0,0
2015-10-06,Newcastle,Bolton,1,2,A,1,0,H,A Wiley,10,7,3,5,21,15,3,3,0,0
2016-10-06,Fulham,Charlton,2,1,H,0,0,D,R Styles,11,10,6,3,9,12,1,3,0,0
2021-10-06,Aston Villa,Fulham,1,1,D,1,1,D,C Foy,3,5,1,2,12,13,0,2,0,0
2021-10-06,Charlton,Watford,0,0,D,0,0,D,L Mason,16,8,8,3,13,17,2,0,0,0
2021-10-06,Chelsea,Portsmouth,2,1,H,0,0,D,M Clattenburg,26,10,18,1,6,12,3,2,0,0
2021-10-06,Everton,Sheffield United,2,0,H,2,0,H,D Gallagher,13,10,5,4,13,11,0,1,0,1
2021-10-06,Wigan,Man City,4,0,H,2,0,H,P Dowd,12,9,5,4,14,13,1,1,0,0
2022-10-06,Blackburn,Bolton,0,1,A,0,0,D,M Dean,24,8,11,7,12,16,2,2,0,1
2022-10-06,Man United,Liverpool,2,0,H,1,0,H,G Poll,10,13,8,5,14,21,1,3,0,0
2022-10-06,Middlesbrough,Newcastle,1,0,H,0,0,D,M Atkinson,19,13,8,4,17,13,2,0,0,0
2022-10-06,Reading,Arsenal,0,4,A,0,2,A,A Wiley,3,16,1,9,6,6,0,0,0,0
2022-10-06,Tottenham,West Ham,1,0,H,1,0,H,S Bennett,13,5,5,2,14,15,3,4,0,0
2028-10-06,Arsenal,Everton,1,1,D,0,1,A,M Riley,26,2,12,2,6,21,2,3,0,0
2028-10-06,Bolton,Man United,0,4,A,0,2,A,R Styles,8,15,3,10,18,11,2,2,0,0
2028-10-06,Fulham,Wigan,0,1,A,0,0,D,G Poll,4,15,1,7,11,12,1,2,0,0
2028-10-06,Liverpool,Aston Villa,3,1,H,3,0,H,S Bennett,19,7,6,5,11,17,0,1,0,0
2028-10-06,Newcastle,Charlton,0,0,D,0,0,D,M Dean,20,8,10,4,12,9,1,1,0,0
2028-10-06,Portsmouth,Reading,3,1,H,1,0,H,P Dowd,18,8,12,4,18,6,0,0,0,0
2028-10-06,Sheffield United,Chelsea,0,2,A,0,1,A,M Atkinson,6,10,2,7,15,12,2,0,0,0
2028-10-06,Watford,Tottenham,0,0,D,0,0,D,U Rennie,9,11,2,8,14,14,3,1,0,0
2029-10-06,West Ham,Blackburn,2,1,H,1,0,H,A Wiley,9,13,5,7,16,10,1,1,0,0
1930-10-06,Man City,Middlesbrough,1,0,H,1,0,H,H Webb,14,4,5,0,16,22,2,4,0,0
2004-11-06,Bolton,Wigan,0,1,A,0,0,D,M Clattenburg,13,9,5,3,15,14,1,2,0,0
2004-11-06,Charlton,Man City,1,0,H,1,0,H,C Foy,18,15,11,9,10,9,1,2,0,0
2004-11-06,Fulham,Everton,1,0,H,0,0,D,M Atkinson,5,5,3,3,8,17,0,1,0,0
2004-11-06,Liverpool,Reading,2,0,H,1,0,H,U Rennie,21,5,10,2,8,14,0,2,0,0
2004-11-06,Man United,Portsmouth,3,0,H,2,0,H,M Dean,18,8,11,5,6,9,0,1,0,0
2004-11-06,Newcastle,Sheffield United,0,1,A,0,0,D,S Bennett,11,12,3,6,16,12,3,2,0,0
2004-11-06,Watford,Middlesbrough,2,0,H,1,0,H,D Gallagher,14,5,6,2,15,15,1,1,0,0
2005-11-06,Aston Villa,Blackburn,2,0,H,1,0,H,H Webb,8,5,5,3,15,13,1,3,0,0
2005-11-06,Tottenham,Chelsea,2,1,H,1,1,D,G Poll,8,17,3,10,15,15,3,5,0,1
2005-11-06,West Ham,Arsenal,1,0,H,0,0,D,R Styles,11,11,5,5,11,8,3,2,0,0
2011-11-06,Blackburn,Man United,0,1,A,0,0,D,M Riley,9,14,4,7,17,8,4,3,0,0
2011-11-06,Chelsea,Watford,4,0,H,2,0,H,H Webb,14,2,8,1,13,14,1,1,0,0
2011-11-06,Everton,Aston Villa,0,1,A,0,1,A,P Dowd,10,17,4,9,16,19,2,3,0,0
2011-11-06,Man City,Newcastle,0,0,D,0,0,D,G Poll,15,8,8,3,18,11,1,3,0,0
2011-11-06,Middlesbrough,West Ham,1,0,H,0,0,D,M Halsey,11,11,8,7,7,10,1,3,0,0
2011-11-06,Portsmouth,Fulham,1,1,D,0,0,D,S Bennett,23,7,12,4,11,7,0,3,0,0
2011-11-06,Sheffield United,Bolton,2,2,D,0,1,A,A Wiley,8,6,4,4,5,6,1,1,0,0
2011-11-06,Wigan,Charlton,3,2,H,2,0,H,D Gallagher,8,7,5,4,18,11,2,0,0,0
2012-11-06,Arsenal,Liverpool,3,0,H,1,0,H,M Clattenburg,7,10,7,4,7,12,2,3,0,0
2012-11-06,Reading,Tottenham,3,1,H,2,1,H,R Styles,8,9,4,3,14,7,1,1,0,0
2018-11-06,Arsenal,Newcastle,1,1,D,0,1,A,M Atkinson,23,2,10,1,10,9,2,5,0,0
2018-11-06,Chelsea,West Ham,1,0,H,1,0,H,M Dean,19,7,9,1,10,8,1,4,0,0
2018-11-06,Everton,Bolton,1,0,H,0,0,D,U Rennie,9,13,2,2,18,14,3,0,0,0
2018-11-06,Man City,Fulham,3,1,H,3,0,H,A Wiley,15,7,7,2,22,12,1,1,0,0
2018-11-06,Middlesbrough,Liverpool,0,0,D,0,0,D,L Mason,1,17,1,10,14,3,0,0,0,0
2018-11-06,Portsmouth,Watford,2,1,H,1,1,D,C Foy,17,8,11,4,14,18,1,3,0,0
2018-11-06,Reading,Charlton,2,0,H,1,0,H,G Poll,11,4,4,2,6,11,0,3,0,0
2018-11-06,Sheffield United,Man United,1,2,A,1,1,D,M Clattenburg,5,22,3,15,19,10,1,1,0,0
2019-11-06,Blackburn,Tottenham,1,1,D,1,0,H,P Dowd,6,13,3,5,17,16,0,1,1,1
2019-11-06,Wigan,Aston Villa,0,0,D,0,0,D,S Bennett,14,7,5,3,6,11,1,0,0,0
2025-11-06,Aston Villa,Middlesbrough,1,1,D,1,1,D,P Walton,11,9,4,4,18,11,1,3,0,0
2025-11-06,Bolton,Arsenal,3,1,H,2,1,H,M Dean,10,14,8,7,11,8,3,4,0,0
2025-11-06,Charlton,Everton,1,1,D,0,0,D,A Wiley,16,9,8,6,16,13,2,0,0,0
2025-11-06,Fulham,Reading,0,1,A,0,1,A,D Gallagher,10,8,4,2,6,14,0,3,1,0
2025-11-06,Liverpool,Man City,1,0,H,0,0,D,R Styles,12,6,6,2,9,20,2,1,0,0
2025-11-06,West Ham,Sheffield United,1,0,H,1,0,H,M Riley,12,13,7,5,16,22,2,4,0,0
2026-11-06,Man United,Chelsea,1,1,D,1,0,H,H Webb,8,13,5,7,16,12,1,3,0,0
2026-11-06,Newcastle,Portsmouth,1,0,H,0,0,D,M Halsey,13,7,10,2,13,12,2,2,0,0
2026-11-06,Tottenham,Wigan,3,1,H,2,1,H,M Clattenburg,11,10,6,5,12,17,2,4,0,0
2028-11-06,Watford,Sheffield United,0,1,A,0,0,D,M Atkinson,9,17,6,7,20,10,3,1,1,0
2029-11-06,Aston Villa,Man City,1,3,A,0,2,A,M Dean,6,11,4,8,15,11,1,0,0,0
2029-11-06,Bolton,Chelsea,0,1,A,0,1,A,S Bennett,9,16,3,10,13,13,3,1,0,0
2029-11-06,Fulham,Arsenal,2,1,H,2,1,H,H Webb,13,7,7,2,17,15,4,5,0,1
2029-11-06,Liverpool,Portsmouth,0,0,D,0,0,D,A Wiley,15,3,4,1,13,13,1,3,0,0
2029-11-06,Man United,Everton,3,0,H,1,0,H,M Halsey,18,7,6,4,15,15,1,1,0,0
2002-12-06,Arsenal,Tottenham,3,0,H,2,0,H,G Poll,6,7,5,4,15,15,1,2,0,0
2002-12-06,Blackburn,Fulham,2,0,H,2,0,H,S Bennett,10,4,6,2,19,13,2,2,0,0
2002-12-06,Middlesbrough,Man United,1,2,A,0,1,A,C Foy,13,11,5,7,12,16,2,3,0,0
2002-12-06,Portsmouth,Aston Villa,2,2,D,0,1,A,U Rennie,18,8,6,4,14,19,2,4,1,0
2002-12-06,Reading,Bolton,1,0,H,1,0,H,A Wiley,10,12,3,7,11,15,0,3,0,0
2002-12-06,Sheffield United,Charlton,2,1,H,0,1,A,P Dowd,26,8,10,4,11,14,1,1,0,0
2002-12-06,Wigan,Liverpool,0,4,A,0,4,A,M Riley,15,9,6,6,9,14,2,2,0,0
2003-12-06,Everton,West Ham,2,0,H,0,0,D,M Atkinson,8,16,5,11,16,9,2,2,0,0
2004-12-06,Man City,Watford,0,0,D,0,0,D,M Clattenburg,14,6,12,4,12,16,1,3,0,0
2005-12-06,Charlton,Blackburn,1,0,H,0,0,D,C Foy,13,5,10,3,10,12,1,2,0,0
2005-12-06,Tottenham,Middlesbrough,2,1,H,0,0,D,M Halsey,22,6,11,3,10,16,0,3,1,1
2006-12-06,Newcastle,Reading,3,2,H,1,2,A,R Styles,14,14,8,5,11,13,1,1,0,0
2006-12-06,West Ham,Wigan,0,2,A,0,0,D,A Wiley,13,9,6,4,12,16,0,3,0,0
2009-12-06,Blackburn,Newcastle,1,3,A,0,2,A,D Gallagher,13,16,7,8,10,5,1,2,1,0
2009-12-06,Bolton,West Ham,4,0,H,1,0,H,H Webb,17,3,10,1,11,11,2,2,0,0
2009-12-06,Liverpool,Fulham,4,0,H,0,0,D,U Rennie,32,5,19,3,7,8,1,1,0,0
2009-12-06,Man United,Man City,3,1,H,2,0,H,G Poll,20,15,11,7,15,19,1,3,0,1
2009-12-06,Middlesbrough,Wigan,1,1,D,0,1,A,S Bennett,13,8,7,3,10,7,2,1,0,0
2009-12-06,Portsmouth,Everton,2,0,H,2,0,H,M Clattenburg,13,12,8,5,20,11,2,4,0,0
2009-12-06,Tottenham,Charlton,5,1,H,2,1,H,M Dean,13,12,9,3,7,11,2,4,0,0
2009-12-06,Watford,Reading,0,0,D,0,0,D,C Foy,8,6,5,1,14,12,0,1,0,0
2010-12-06,Chelsea,Arsenal,1,1,D,0,0,D,A Wiley,20,11,7,4,16,16,2,2,0,0
2011-12-06,Sheffield United,Aston Villa,2,2,D,0,1,A,M Halsey,16,7,10,5,11,16,2,1,0,0
2013-12-06,Chelsea,Newcastle,1,0,H,0,0,D,P Dowd,15,6,8,1,16,13,2,2,0,0
2013-12-06,Wigan,Arsenal,0,1,A,0,0,D,R Styles,15,9,7,3,10,7,1,0,0,0
2016-12-06,Arsenal,Portsmouth,2,2,D,0,1,A,S Bennett,14,7,8,5,13,13,0,2,0,0
2016-12-06,Aston Villa,Bolton,0,1,A,0,0,D,M Clattenburg,15,7,9,3,16,19,0,4,0,0
2016-12-06,Charlton,Liverpool,0,3,A,0,1,A,H Webb,7,22,2,10,9,5,1,1,0,0
2016-12-06,Newcastle,Watford,2,1,H,0,0,D,M Atkinson,11,11,6,8,7,18,0,0,0,0
2016-12-06,Reading,Blackburn,1,2,A,1,0,H,G Poll,10,10,5,7,17,8,1,2,0,0
2016-12-06,Wigan,Sheffield United,0,1,A,0,1,A,P Walton,14,11,6,7,10,12,0,2,0,0
2017-12-06,Everton,Chelsea,2,3,A,1,0,H,M Halsey,3,18,1,9,17,8,1,1,0,0
2017-12-06,Man City,Tottenham,1,2,A,0,2,A,R Styles,10,11,4,7,13,11,1,0,0,0
2017-12-06,West Ham,Man United,1,0,H,0,0,D,P Dowd,10,19,4,11,25,10,3,2,0,0
2018-12-06,Fulham,Middlesbrough,2,1,H,2,0,H,M Dean,11,16,6,10,19,16,0,0,0,0
2023-12-06,Arsenal,Blackburn,6,2,H,3,1,H,H Webb,18,11,12,7,14,14,3,3,0,0
2023-12-06,Aston Villa,Man United,0,3,A,0,0,D,S Bennett,11,14,3,10,12,11,2,2,0,0
2023-12-06,Fulham,West Ham,0,0,D,0,0,D,C Foy,11,13,7,4,17,17,1,2,0,1
2023-12-06,Liverpool,Watford,2,0,H,0,0,D,P Dowd,15,7,10,4,10,17,0,0,0,0
2023-12-06,Man City,Bolton,0,2,A,0,2,A,M Riley,5,9,3,3,23,16,1,3,1,0
2023-12-06,Middlesbrough,Charlton,2,0,H,1,0,H,R Styles,16,8,9,6,1,9,0,1,0,0
2023-12-06,Newcastle,Tottenham,3,1,H,3,1,H,A Wiley,12,17,9,6,12,18,1,1,0,0
2023-12-06,Portsmouth,Sheffield United,3,1,H,0,1,A,G Poll,13,11,6,6,14,6,0,2,0,0
2023-12-06,Reading,Everton,0,2,A,0,1,A,S Tanner,11,10,7,7,10,6,0,0,0,0
2023-12-06,Wigan,Chelsea,2,3,A,1,2,A,M Dean,14,8,6,5,10,10,3,4,0,0
