Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR
2026-12-06,Blackburn,Liverpool,1,0,H,0,0,D,R Styles,8,18,4,12,13,6,3,2,0,0
2026-12-06,Bolton,Newcastle,2,1,H,1,1,D,H Webb,10,10,7,5,15,14,3,3,0,0
2026-12-06,Chelsea,Reading,2,2,D,1,0,H,A Wiley,16,6,5,1,14,9,1,1,0,0
2026-12-06,Everton,Middlesbrough,0,0,D,0,0,D,P Dowd,10,7,4,2,12,17,2,1,0,0
2026-12-06,Man United,Wigan,3,1,H,0,0,D,M Riley,17,6,8,3,12,14,0,0,0,0
2026-12-06,Sheffield United,Man City,0,1,A,0,0,D,M Clattenburg,19,11,13,8,7,9,2,1,0,0
2026-12-06,Tottenham,Aston Villa,2,1,H,0,0,D,U Rennie,12,9,10,7,12,14,1,2,0,0
2026-12-06,Watford,Arsenal,1,2,A,1,1,D,M Dean,6,16,3,8,11,6,2,0,0,0
2026-12-06,West Ham,Portsmouth,1,2,A,0,2,A,M Atkinson,14,12,7,6,12,13,2,1,0,0
2027-12-06,Charlton,Fulham,2,2,D,2,1,H,G Poll,12,15,7,9,14,15,0,0,0,0
1930-12-06,Blackburn,Middlesbrough,2,1,H,1,0,H,M Atkinson,14,8,7,5,16,21,1,3,0,0
1930-12-06,Bolton,Portsmouth,3,2,H,2,1,H,P Walton,12,14,7,7,11,13,0,1,0,0
1930-12-06,Charlton,Aston Villa,2,1,H,0,1,A,R Styles,14,6,8,2,10,10,2,1,0,1
1930-12-06,Chelsea,Fulham,2,2,D,1,1,D,H Webb,15,11,4,6,14,11,1,1,0,0
1930-12-06,Everton,Newcastle,3,0,H,1,0,H,D Gallagher,16,7,9,3,7,11,2,3,0,0
1930-12-06,Man United,Reading,3,2,H,1,1,D,M Dean,28,7,12,3,9,11,1,2,0,1
1930-12-06,Sheffield United,Arsenal,1,0,H,1,0,H,L Mason,11,9,5,4,11,5,2,3,0,0
1930-12-06,Tottenham,Liverpool,0,1,A,0,1,A,M Halsey,9,10,3,5,5,21,0,0,0,0
1930-12-06,West Ham,Man City,0,1,A,0,0,D,S Bennett,12,7,6,5,12,15,1,2,0,0
2001-01-07,Fulham,Watford,0,0,D,0,0,D,S Bennett,16,13,4,5,6,17,1,2,0,1
2001-01-07,Liverpool,Bolton,3,0,H,0,0,D,G Poll,19,1,9,0,18,12,0,3,0,0
2001-01-07,Man City,Everton,2,1,H,0,0,D,U Rennie,11,15,7,5,13,13,2,3,0,0
2001-01-07,Middlesbrough,Sheffield United,3,1,H,1,1,D,C Foy,13,6,7,3,10,11,2,1,0,0
2001-01-07,Newcastle,Man United,2,2,D,1,1,D,R Styles,8,20,8,8,11,10,1,2,0,0
2001-01-07,Portsmouth,Tottenham,1,1,D,1,0,H,A Marriner,15,9,9,7,12,12,1,4,0,0
2001-01-07,Reading,West Ham,6,0,H,4,0,H,L Mason,18,9,9,3,6,13,1,0,0,0
2001-01-07,Wigan,Blackburn,0,3,A,0,1,A,M Clattenburg,14,8,5,5,10,16,0,5,0,0
2002-01-07,Arsenal,Charlton,4,0,H,2,0,H,M Riley,16,4,10,2,13,9,0,1,0,1
2002-01-07,Aston Villa,Chelsea,0,0,D,0,0,D,P Dowd,4,22,2,12,7,13,1,3,0,0
2013-01-07,Blackburn,Arsenal,0,2,A,0,1,A,C Foy,13,6,7,4,15,5,4,0,0,1
2013-01-07,Bolton,Man City,0,0,D,0,0,D,A Marriner,8,7,4,0,14,13,2,2,0,0
2013-01-07,Charlton,Middlesbrough,1,3,A,1,1,D,M Dean,16,12,9,9,12,15,3,1,0,0
2013-01-07,Chelsea,Wigan,4,0,H,1,0,H,M Atkinson,12,2,6,1,15,17,1,3,0,0
2013-01-07,Man United,Aston Villa,3,1,H,3,0,H,H Webb,27,7,17,5,8,15,1,1,0,0
2013-01-07,Sheffield United,Portsmouth,1,1,D,1,0,H,L Probert,6,13,3,6,14,19,0,2,0,0
2013-01-07,Watford,Liverpool,0,3,A,0,2,A,M Clattenburg,8,22,4,13,9,10,0,0,0,0
2013-01-07,West Ham,Fulham,3,3,D,1,1,D,G Poll,10,9,7,6,20,21,3,6,1,0
2014-01-07,Everton,Reading,1,1,D,0,1,A,M Riley,14,7,7,3,12,17,2,2,0,0
2014-01-07,Tottenham,Newcastle,2,3,A,1,1,D,S Bennett,25,12,17,7,8,9,1,4,0,0
2020-01-07,Aston Villa,Watford,2,0,H,0,0,D,P Walton,17,11,6,6,11,20,2,0,0,0
2020-01-07,Fulham,Tottenham,1,1,D,0,0,D,M Dean,9,9,3,4,14,16,3,2,1,0
2020-01-07,Liverpool,Chelsea,2,0,H,2,0,H,R Styles,17,11,8,3,10,17,0,1,0,0
2020-01-07,Man City,Blackburn,0,3,A,0,1,A,P Dowd,13,12,9,5,14,11,1,3,0,0
2020-01-07,Middlesbrough,Bolton,5,1,H,4,1,H,A Wiley,10,11,5,5,12,13,1,3,0,1
2020-01-07,Newcastle,West Ham,2,2,D,1,2,A,U Rennie,14,12,7,7,16,26,3,4,0,0
2020-01-07,Portsmouth,Charlton,0,1,A,0,0,D,M Clattenburg,9,8,3,5,9,11,0,3,0,0
2020-01-07,Reading,Sheffield United,3,1,H,1,0,H,M Halsey,17,4,10,1,12,8,1,1,0,1
2021-01-07,Arsenal,Man United,2,1,H,0,0,D,S Bennett,18,10,11,6,13,11,1,3,0,0
2021-01-07,Wigan,Everton,0,2,A,0,0,D,H Webb,13,8,6,5,11,17,0,1,0,0
2023-01-07,Watford,Blackburn,2,1,H,1,1,D,D Gallagher,15,15,7,3,14,7,2,0,0,0
1930-01-07,Portsmouth,Middlesbrough,0,0,D,0,0,D,D Gallagher,15,3,4,3,10,10,0,1,0,0
1930-01-07,Reading,Wigan,3,2,H,1,1,D,S Bennett,19,21,12,14,11,11,1,1,0,0
1930-01-07,Sheffield United,Fulham,2,0,H,2,0,H,L Mason,16,7,8,0,14,10,1,1,0,0
1930-01-07,West Ham,Liverpool,1,2,A,0,0,D,M Atkinson,13,15,6,9,11,8,1,1,0,0
1931-01-07,Bolton,Charlton,1,1,D,1,1,D,L Probert,12,4,7,2,7,11,0,1,0,0
1931-01-07,Chelsea,Blackburn,3,0,H,1,0,H,G Poll,18,6,15,4,12,11,0,1,0,0
1931-01-07,Man United,Watford,4,0,H,1,0,H,M Dean,21,2,10,1,11,11,2,2,0,0
1931-01-07,Newcastle,Aston Villa,3,1,H,2,1,H,H Webb,8,14,4,9,15,15,1,1,0,0
2003-02-07,Aston Villa,West Ham,1,0,H,1,0,H,C Foy,17,7,6,2,13,21,0,1,0,0
2003-02-07,Blackburn,Sheffield United,2,1,H,1,1,D,A Marriner,11,11,6,5,18,19,1,4,1,0
2003-02-07,Charlton,Chelsea,0,1,A,0,1,A,M Halsey,8,17,5,8,7,8,0,1,0,0
2003-02-07,Fulham,Newcastle,2,1,H,0,0,D,P Dowd,15,8,9,4,12,13,1,3,0,0
2003-02-07,Liverpool,Everton,0,0,D,0,0,D,A Wiley,25,6,10,4,13,18,0,3,0,0
2003-02-07,Man City,Reading,0,2,A,0,0,D,H Webb,16,7,7,3,12,13,0,0,0,0
2003-02-07,Middlesbrough,Arsenal,1,1,D,0,0,D,M Riley,3,11,1,4,14,5,2,1,0,1
2003-02-07,Watford,Bolton,0,1,A,0,0,D,R Styles,7,7,3,4,8,9,0,3,0,0
2003-02-07,Wigan,Portsmouth,1,0,H,0,0,D,G Poll,15,5,8,4,10,8,1,0,0,0
2004-02-07,Tottenham,Man United,0,4,A,0,1,A,M Clattenburg,10,12,5,7,8,16,2,3,0,0
2010-02-07,Chelsea,Middlesbrough,3,0,H,1,0,H,C Foy,15,3,5,0,6,11,0,1,0,0
2010-02-07,Everton,Blackburn,1,0,H,1,0,H,R Styles,15,8,8,4,15,13,2,1,0,0
2010-02-07,Man United,Charlton,2,0,H,1,0,H,M Riley,18,8,11,2,11,8,0,1,0,0
2010-02-07,Newcastle,Liverpool,2,1,H,1,1,D,M Halsey,7,13,3,9,9,14,1,1,0,0
2010-02-07,Portsmouth,Man City,2,1,H,1,0,H,M Dean,17,6,10,3,12,12,3,3,0,0
2010-02-07,Reading,Aston Villa,2,0,H,1,0,H,M Clattenburg,12,17,9,7,13,11,2,1,0,0
2010-02-07,Sheffield United,Tottenham,2,1,H,1,1,D,M Atkinson,16,6,5,1,14,11,3,5,0,0
2010-02-07,West Ham,Watford,0,1,A,0,1,A,A Wiley,23,8,10,5,17,23,4,2,0,0
2011-02-07,Arsenal,Wigan,2,1,H,0,1,A,P Dowd,10,8,3,2,9,15,6,3,0,0
2011-02-07,Bolton,Fulham,2,1,H,1,0,H,H Webb,7,7,4,6,14,11,1,4,0,0
2021-02-07,Everton,Tottenham,1,2,A,1,1,D,U Rennie,10,8,3,4,7,14,2,1,0,0
2021-02-07,Watford,Wigan,1,1,D,1,1,D,R Styles,10,16,6,13,11,11,1,1,0,1
2024-02-07,Charlton,West Ham,4,0,H,3,0,H,R Styles,12,11,5,8,13,7,3,2,0,0
2024-02-07,Fulham,Man United,1,2,A,1,1,D,P Walton,16,16,6,8,16,12,3,2,0,0
2024-02-07,Liverpool,Sheffield United,4,0,H,2,0,H,S Bennett,8,6,4,2,12,9,0,2,0,0
2024-02-07,Middlesbrough,Reading,2,1,H,1,0,H,M Halsey,9,10,6,4,9,12,1,1,0,0
2024-02-07,Watford,Everton,0,3,A,0,2,A,L Mason,11,13,3,5,10,17,2,1,0,0
2025-02-07,Blackburn,Portsmouth,3,0,H,2,0,H,M Clattenburg,13,13,11,6,11,16,2,3,0,0
2025-02-07,Tottenham,Bolton,4,1,H,3,1,H,G Poll,14,10,10,6,2,17,0,4,1,0
2025-02-07,Wigan,Newcastle,1,0,H,1,0,H,A Wiley,7,5,4,2,11,12,6,2,0,0
2003-03-07,Arsenal,Reading,2,1,H,0,0,D,C Foy,16,7,9,4,8,14,1,1,0,0
2003-03-07,Fulham,Aston Villa,1,1,D,1,1,D,L Mason,13,9,7,4,10,21,0,2,0,0
2003-03-07,Liverpool,Man United,0,1,A,0,0,D,M Atkinson,15,5,8,3,11,12,2,2,0,1
2003-03-07,Man City,Wigan,0,1,A,0,1,A,H Webb,4,9,3,5,13,14,3,2,0,0
2003-03-07,Newcastle,Middlesbrough,0,0,D,0,0,D,S Bennett,11,7,8,4,12,14,0,3,0,0
2003-03-07,Portsmouth,Chelsea,0,2,A,0,1,A,M Halsey,8,10,5,5,8,10,0,2,0,0
2003-03-07,Sheffield United,Everton,1,1,D,0,0,D,M Riley,8,7,6,2,18,10,3,2,0,0
2003-03-07,Watford,Charlton,2,2,D,2,0,H,P Walton,14,13,10,5,18,10,2,2,0,0
2004-03-07,Bolton,Blackburn,1,2,A,0,0,D,R Styles,15,10,10,2,14,8,1,0,0,0
2004-03-07,West Ham,Tottenham,3,4,A,2,0,H,M Dean,12,12,6,7,15,12,6,1,0,0
2014-03-07,Aston Villa,Arsenal,0,1,A,0,1,A,M Atkinson,11,10,6,5,12,14,1,1,0,0
2014-03-07,Man City,Chelsea,0,1,A,0,1,A,A Wiley,8,5,2,3,10,13,3,2,0,0
2017-03-07,Blackburn,West Ham,1,2,A,0,0,D,H Webb,9,10,3,7,18,22,4,4,1,0
2017-03-07,Chelsea,Sheffield United,3,0,H,2,0,H,C Foy,13,7,8,4,7,10,0,0,0,0
2017-03-07,Man United,Bolton,4,1,H,3,0,H,A Wiley,15,7,7,0,14,13,1,2,0,0
2017-03-07,Middlesbrough,Man City,0,2,A,0,0,D,K Stroud,11,14,5,8,13,21,1,2,0,0
2017-03-07,Reading,Portsmouth,0,0,D,0,0,D,S Bennett,5,10,0,5,11,15,1,1,0,0
2017-03-07,Tottenham,Watford,3,1,H,1,0,H,M Halsey,17,2,11,2,5,8,0,0,0,0
2017-03-07,Wigan,Fulham,0,0,D,0,0,D,S Tanner,6,3,3,0,13,6,1,0,0,0
2018-03-07,Aston Villa,Liverpool,0,0,D,0,0,D,L Mason,9,7,3,3,11,12,2,3,0,0
2018-03-07,Charlton,Newcastle,2,0,H,0,0,D,D Gallagher,10,12,4,6,14,20,1,2,0,0
2018-03-07,Everton,Arsenal,1,0,H,0,0,D,M Clattenburg,11,18,4,9,17,13,6,0,0,0
1931-03-07,Bolton,Sheffield United,1,0,H,0,0,D,M Clattenburg,19,7,12,4,8,12,1,3,0,0
1931-03-07,Charlton,Wigan,1,0,H,0,0,D,P Walton,4,6,1,1,10,15,1,3,0,0
1931-03-07,Fulham,Portsmouth,1,1,D,0,1,A,M Riley,13,10,9,7,14,22,1,0,0,0
1931-03-07,Liverpool,Arsenal,4,1,H,2,0,H,S Bennett,12,11,7,3,17,8,1,3,0,0
1931-03-07,Man United,Blackburn,4,1,H,0,1,A,C Foy,27,6,17,3,7,12,1,3,0,0
1931-03-07,Newcastle,Man City,0,1,A,0,0,D,G Poll,15,7,6,5,9,16,1,3,0,0
1931-03-07,Watford,Chelsea,0,1,A,0,0,D,U Rennie,12,13,6,8,18,9,1,3,0,0
1931-03-07,West Ham,Middlesbrough,2,0,H,2,0,H,M Halsey,9,10,6,3,11,17,0,1,0,0
2001-04-07,Tottenham,Reading,1,0,H,1,0,H,A Wiley,18,6,7,3,7,6,1,0,0,0
2002-04-07,Aston Villa,Everton,1,1,D,0,1,A,H Webb,17,18,10,8,18,16,3,3,0,0
2006-04-07,Everton,Fulham,4,1,H,3,1,H,D Gallagh,14,15,10,8,18,12,0,0,0,0
2006-04-07,Man City,Charlton,0,0,D,0,0,D,A Wiley,13,3,6,1,12,11,0,0,0,0
2007-04-07,Arsenal,West Ham,0,1,A,0,1,A,G Poll,29,6,15,5,10,15,0,1,0,0
2007-04-07,Blackburn,Aston Villa,1,2,A,1,1,D,M Atkinson,10,9,3,7,17,12,2,1,0,0
2007-04-07,Chelsea,Tottenham,1,0,H,0,0,D,R Styles,11,6,8,5,13,11,2,1,0,0
2007-04-07,Middlesbrough,Watford,4,1,H,2,1,H,C Foy,24,6,14,3,7,14,0,0,0,0
2007-04-07,Portsmouth,Man United,2,1,H,1,0,H,M Clattenburg,14,15,9,7,13,2,3,1,0,0
2007-04-07,Reading,Liverpool,1,2,A,0,1,A,P Walton,8,4,4,3,10,16,2,1,0,0
2007-04-07,Sheffield United,Newcastle,1,2,A,0,1,A,M Halsey,17,10,11,3,11,13,1,1,0,0
2007-04-07,Wigan,Bolton,1,3,A,1,1,D,U Rennie,17,10,9,9,7,13,0,3,0,0
2009-04-07,Aston Villa,Wigan,1,1,D,0,1,A,M Halsey,13,2,7,1,11,11,2,3,0,1
2009-04-07,Bolton,Everton,1,1,D,1,1,D,M Atkinson,7,9,4,7,16,19,3,1,0,0
2009-04-07,Charlton,Reading,0,0,D,0,0,D,G Poll,8,14,5,6,13,13,1,0,0,0
2009-04-07,Fulham,Man City,1,3,A,0,2,A,S Bennett,12,7,5,5,12,15,1,3,0,0
2009-04-07,Newcastle,Arsenal,0,0,D,0,0,D,H Webb,8,6,4,2,13,14,1,2,0,0
2009-04-07,Watford,Portsmouth,4,2,H,2,1,H,L Mason,15,10,10,6,13,15,0,0,0,0
2014-04-07,Arsenal,Bolton,2,1,H,1,1,D,R Styles,19,6,9,2,7,18,2,3,0,1
2014-04-07,Man City,Liverpool,0,0,D,0,0,D,U Rennie,7,11,1,3,12,15,1,2,0,0
2014-04-07,Middlesbrough,Aston Villa,1,3,A,1,1,D,D Gallagher,13,9,5,7,20,8,2,1,0,0
2014-04-07,Portsmouth,Newcastle,2,1,H,1,0,H,C Foy,21,7,7,3,13,8,2,0,0,0
2014-04-07,Reading,Fulham,1,0,H,1,0,H,L Mason,12,13,6,5,8,7,2,1,0,0
2014-04-07,Sheffield United,West Ham,3,0,H,1,0,H,S Bennett,6,11,5,3,11,8,2,3,0,0
2015-04-07,Everton,Charlton,2,1,H,0,0,D,M Halsey,18,7,11,4,7,15,0,3,0,0
2015-04-07,Wigan,Tottenham,3,3,D,2,2,D,G Poll,21,10,11,6,18,6,3,0,0,0
2017-04-07,Arsenal,Man City,3,1,H,1,1,D,M Halsey,12,9,10,6,8,8,0,0,0,0
2017-04-07,Man United,Sheffield United,2,0,H,1,0,H,R Styles,13,10,10,3,10,13,5,3,0,0
2018-04-07,Blackburn,Watford,3,1,H,3,1,H,C Foy,18,4,10,4,8,14,0,0,0,0
2018-04-07,Liverpool,Middlesbrough,2,0,H,0,0,D,G Poll,18,5,7,2,8,13,0,1,0,0
2018-04-07,West Ham,Chelsea,1,4,A,1,2,A,M Dean,14,14,10,7,21,9,5,2,0,0
2021-04-07,Bolton,Reading,1,3,A,0,0,D,H Webb,18,10,15,7,17,13,0,2,0,0
2021-04-07,Charlton,Sheffield United,1,1,D,0,0,D,A Wiley,10,15,2,10,16,13,5,3,0,0
2021-04-07,Fulham,Blackburn,1,1,D,1,0,H,G Poll,13,18,6,9,17,15,1,1,0,0
2021-04-07,Liverpool,Wigan,2,0,H,1,0,H,M Riley,23,4,12,3,10,10,2,2,0,0
2021-04-07,Man United,Middlesbrough,1,1,D,1,1,D,P Walton,21,10,9,5,10,17,2,5,0,0
2021-04-07,Tottenham,Arsenal,2,2,D,1,0,H,M Dean,7,17,3,5,10,6,2,2,0,0
2021-04-07,Watford,Man City,1,1,D,0,0,D,R Styles,4,4,1,1,9,6,1,1,0,0
2021-04-07,West Ham,Everton,1,0,H,1,0,H,M Clattenburg,15,10,7,2,16,10,2,1,0,0
2022-04-07,Aston Villa,Portsmouth,0,0,D,0,0,D,M Atkinson,17,5,8,2,10,20,0,1,0,0
2022-04-07,Newcastle,Chelsea,0,0,D,0,0,D,M Halsey,11,12,3,4,15,16,0,3,0,0
2028-04-07,Blackburn,Charlton,4,1,H,0,0,D,M Dean,16,8,9,3,14,5,1,1,0,1
2028-04-07,Chelsea,Bolton,2,2,D,2,1,H,R Styles,11,6,3,3,8,10,0,3,0,0
2028-04-07,Everton,Man United,2,4,A,1,0,H,A Wiley,8,18,3,12,17,11,1,1,0,0
2028-04-07,Man City,Aston Villa,0,2,A,0,1,A,M Halsey,14,15,7,7,14,8,1,0,0,0
2028-04-07,Middlesbrough,Tottenham,2,3,A,0,1,A,L Mason,16,11,8,5,11,9,1,1,0,0
2028-04-07,Portsmouth,Liverpool,2,1,H,2,0,H,P Walton,9,11,7,4,12,7,1,1,0,0
2028-04-07,Sheffield United,Watford,1,0,H,1,0,H,M Atkinson,11,13,6,3,13,17,1,4,0,0
2028-04-07,Wigan,West Ham,0,3,A,0,1,A,G Poll,9,12,6,7,5,17,1,2,0,0
2029-04-07,Arsenal,Fulham,3,1,H,1,0,H,M Clattenburg,10,7,5,1,6,10,2,4,0,0
1930-04-07,Reading,Newcastle,1,0,H,0,0,D,M Riley,13,18,8,11,14,11,2,0,0,0
2005-05-07,Aston Villa,Sheffield United,3,0,H,2,0,H,P Walton,19,9,11,2,14,14,2,2,0,0
2005-05-07,Everton,Portsmouth,3,0,H,0,0,D,H Webb,13,12,7,5,9,19,3,3,0,0
2005-05-07,Fulham,Liverpool,1,0,H,0,0,D,S Bennett,7,9,5,5,17,15,2,2,1,0
2005-05-07,Man City,Man United,0,1,A,0,1,A,R Styles,4,6,3,3,13,10,2,2,0,0
2005-05-07,Newcastle,Blackburn,0,2,A,0,1,A,M Atkinson,14,8,6,6,12,20,1,3,0,0
2005-05-07,Reading,Watford,0,2,A,0,0,D,D Gallaghe,15,4,7,4,10,16,0,2,0,0
2005-05-07,West Ham,Bolton,3,1,H,3,0,H,M Riley,9,8,6,3,17,21,2,5,0,0
2005-05-07,Wigan,Middlesbrough,0,1,A,0,1,A,M Clattenburg,15,7,7,3,17,8,3,0,0,0
2006-05-07,Arsenal,Chelsea,1,1,D,1,0,H,A Wiley,7,9,4,4,19,13,1,2,0,1
2007-05-07,Charlton,Tottenham,0,2,A,0,1,A,G Poll,7,9,4,6,7,4,0,0,0,0
2009-05-07,Chelsea,Man United,0,0,D,0,0,D,G Poll,15,5,10,0,12,20,3,4,0,0
2010-05-07,Tottenham,Blackburn,1,1,D,0,1,A,R Styles,15,10,7,4,4,17,0,3,0,1
2013-05-07,Blackburn,Reading,3,3,D,1,1,D,A Wiley,15,12,6,7,16,7,2,0,0,0
2013-05-07,Bolton,Aston Villa,2,2,D,1,1,D,M Clattenburg,10,8,2,3,10,11,2,1,0,0
2013-05-07,Chelsea,Everton,1,1,D,0,0,D,M Halsey,14,8,10,5,13,5,2,1,0,0
2013-05-07,Liverpool,Charlton,2,2,D,0,1,A,D Gallagher,22,8,7,4,5,12,0,0,0,0
2013-05-07,Man United,West Ham,0,1,A,0,1,A,M Atkinson,28,6,20,4,13,11,0,2,0,0
2013-05-07,Middlesbrough,Fulham,3,1,H,2,1,H,M Riley,21,8,10,5,11,12,1,0,0,0
2013-05-07,Portsmouth,Arsenal,0,0,D,0,0,D,G Poll,9,14,4,6,18,15,0,0,0,0
2013-05-07,Sheffield United,Wigan,1,2,A,1,2,A,M Dean,9,9,5,3,11,15,3,5,0,1
2013-05-07,Tottenham,Man City,2,1,H,2,1,H,S Bennett,8,10,3,5,11,13,1,1,0,0
2013-05-07,Watford,Newcastle,1,1,D,0,1,A,R Styles,11,1,2,1,13,6,2,4,0,0
